Project,Amount,Received,Interest Rate,Loan Start,Loan End,Status,Expected Interest,Interest Paid,Auto Invest,Bank Reference,Repaid Amount,Outstanding Capital,Gross APR,Net APR,Blended LTV,Loan Parts in Loan,Days to current maturity,Original maturity date,Maturity date extended,URL,Notes
Development Site at Holly Farm,50,50,7.50%,12/10/2022,01/08/2022,Partially Repaid,2.522047722,1.94,1,6206HALSALL,11.2,38.8,9.50%,7.50%,57.00%,1,-734,01/08/2022,0,https://www.crowdproperty.com/projects/6206,"Works are now completed on site, and we are now waiting on the sales to go through in order to pay down the loan. We have interested parties on 5 out of 8 of the plots, and once these sales have gone through, you will then receive partial repayments of capital and interest. "
Gainsborough Riverside Gateway,50,50,7.60%,29/09/2022,12/01/2023,Live,1.103561644,0,1,6110GAINSBOR,0,50,9.50%,7.60%,49.00%,1,-570,12/01/2023,0,https://www.crowdproperty.com/projects/6110,Borrower discussing refinance with new lender which should repay the loan in full.
Land at Hopcott Road,25,25,6.90%,07/09/2022,14/03/2023,Paid Back in Full,0.89,0.89,1,10220SOMERSE,25,0,0.1,0.069,0.625,2,-509,14/03/2023,0,,
Land at Hopcott Road,50,50,7%,22/09/2022,14/03/2023,Paid Back in Full,1.67,1.67,1,8627MINEHEAD,50,0,0.09,0.07,0.698,2,-509,14/03/2023,0,,
Plots 32-68 and 70-71,50,50,6.90%,29/09/2022,14/03/2023,Paid Back in Full,1.58,1.58,1,10331MINEHEA,50,0,0.1,0.069,0.625,1,-509,14/03/2023,0,,
Land Off Upper Quarry Road,50,50,7.70%,29/09/2022,31/03/2023,Paid Back in Full,1.45,1.45,1,6478HUDDERSF,50,0,0.1,0.077,0.642,1,-492,31/03/2023,0,,
Selcroft Road,50,50,6.90%,13/10/2022,11/08/2023,Paid Back in Full,2.440000045,2.44,1,10227LONDON,50,0,0.095,0.069,0.699,1,-359,11/08/2023,0,,
30-31 Laurie Grove,50,50,7.20%,16/11/2022,25/08/2023,Paid Back in Full,2.79,2.79,1,10700LONDON,50,0,0.1,0.072,0.6691,1,-345,25/08/2023,0,,
Warleys Lane,50,50,6.70%,09/09/2022,08/09/2023,Live,3.378356164,3.36,1,10136WESTON-,0,50,9.50%,6.70%,70.00%,1,-331,08/09/2023,0,https://www.crowdproperty.com/account/loans/564/pledge/627111,"The borrower has received an offer from the Housing Association, however whilst undergoing due diligence the Housing Associations solicitors have identified a gap in the title which requires the borrower to purchase the adjacent piece of land in order to comply with South West Waters drainage strategy. This purchase is in legals and progressing well, once purchased they will be able to sell the site.

"
Yorkshire Coast College,50,50,7.60%,08/09/2022,10/09/2023,Live,3.831232877,0,1,8715SCARBORO,0,50,10.00%,7.60%,61.50%,1,-329,10/09/2023,0,https://www.crowdproperty.com/account/loans/566/pledge/618492,"After a thorough review of all viable options, the administrators advised that the property will be better sold now, rather than at some point in the future. They did not believe that holding on to the Property would achieve a substantially higher price in the next 12 months. 

"
Land North Of The Brea Inn,50,50,7.30%,20/10/2022,22/09/2023,Paid Back in Full,2.98,2.98,1,9317CORNWALL,50,0,0.1,0.073,0.7,1,-317,30/08/2023,23,https://www.crowdproperty.com/projects/10130,
The Villa,50,50,7.20%,23/09/2022,22/09/2023,Partially Repaid,3.768374518,2.04,1,10298SCARBOR,25.99,24.01,9.50%,7.20%,69.94%,2,-317,22/09/2023,0,,
The Villa,50,50,7.20%,14/10/2022,22/09/2023,Partially Repaid,3.548933206,1.92,1,10819SCARBOR,25.99,24.01,9.50%,7.20%,69.94%,2,-317,22/09/2023,0,,
Lodge Farm,50,50,7.20%,31/10/2022,25/09/2023,Paid Back in Full,3.25,3.25,1,11068SOLIHUL,50,0,0.1,0.072,0.75,1,-314,25/09/2023,0,,
Flat 4,50,50,7.40%,30/09/2022,09/10/2023,Paid Back in Full,4.1,4.1,1,7063MANCHEST,50,0,0.1,0.074,0.7,1,-300,29/06/2023,102,,"Nearing completion, with only the final walls left to be painted. Refinance process is pregressing but blocked by an outstanding land registry issue."
Hope All Saints Garden Centre,50,50,7.20%,20/10/2022,07/11/2023,Paid Back in Full,3.87,3.87,1,9087NEWROMN,50,0,0.095,0.072,0.667,1,-271,13/10/2023,25,https://www.crowdproperty.com/account/loans/591/pledge/659824,
Enfield Avenue,50,50,7.70%,28/09/2022,08/11/2023,Live,4.293013699,0,1,9502GRIMSBY,0,50,10.00%,7.70%,70.00%,1,-270,08/11/2023,0,,
45-51 Mersey View,50,50,7.50%,21/11/2022,22/11/2023,Paid Back in Full,3.76,3.76,1,10670LIVERPO,50,0,11.00%,10.50%,67.00%,1,-256,20/11/2023,2,https://www.crowdproperty.com/projects/9270,
The Caledonia Pub,50,50,6.50%,14/09/2022,28/11/2023,Paid Back in Full,4.14,4.14,1,9429ASHTONU,50,0,0.09,0.065,0.7,2,-250,13/09/2023,76,https://www.crowdproperty.com/projects/10298,"Sales for 4 units expected to complete in the coming week, development of other 3 units is in final stages (inspections, building control etc.). Exploring refinance of the remainder of the loan."
The Caledonia Pub,50,50,6.50%,31/10/2022,28/11/2023,Paid Back in Full,3.73,3.73,1,10521ASHTON,50,0,0.09,0.065,0.7,2,-250,13/09/2023,76,https://www.crowdproperty.com/account/loans/590/pledge/654893,"Sale agreed to a Housing Association, but an issue with riparian rights requires update and amendment to the land registry certificate which is pending with the land registry."
Samoya,50,50,7.50%,29/09/2022,04/12/2023,Live,4.438356164,0,1,9604DUNBAR,0,50,10.00%,7.50%,69.90%,1,-244,04/12/2023,0,,
Home Farm,50,50,7.20%,23/09/2022,22/12/2023,Live,4.519726027,4.5,1,10195LUTTERW,0,50,10.00%,7.20%,70.00%,3,-226,22/12/2023,0,,
Home Farm,50,50,7.20%,13/10/2022,22/12/2023,Live,4.300273973,0,1,10664LUTTERW,0,50,10.00%,7.20%,70.00%,3,-226,22/12/2023,0,,
Home Farm,50,50,7.20%,15/12/2022,22/12/2023,Live,3.67890411,0,1,10667LUTTERW,0,50,10.00%,7.20%,70.00%,3,-226,22/12/2023,0,,
Hazelwood,50,50,7.10%,14/10/2022,30/12/2023,Live,4.308630137,0,1,9289WALSALL,0,50,9.50%,7.10%,51.20%,1,-218,30/12/2023,0,,
Land Adjacent Pendre,50,50,7.70%,27/04/2023,30/12/2023,Live,2.615890411,0,1,9695ABERYSTW,0,50,9.50%,7.70%,70.00%,1,-218,30/12/2023,0,,
Castle Drive,50,50,7.30%,23/09/2022,12/01/2024,Paid Back in Full,4.51,4.51,1,5820REIGATE,50,0,10.50%,7.70%,63.50%,1,-205,22/12/2023,21,,
1-3 Crosby Road South,50,50,7%,19/10/2022,15/01/2024,Paid Back in Full,4.59,4.59,1,9673LIVERPOO,50,0,0.1,0.07,0.7,1,-202,18/10/2023,89,,Developer progressing the refinance process since June. Process has been slower than anticipated but valuation has now been completed and formal terms are currently awaited.
Simplicity,50,50,6.40%,27/10/2022,20/02/2024,Paid Back in Full,4.58,4.58,1,9171SHOREHAM,50,0,0.085,0.064,0.477,1,-166,26/10/2023,117,https://www.crowdproperty.com/account/loans/577/pledge/632697,"The works on site have been completed, and there has been a delay in the loan repayment process. This is due to some delays at the land registry, which have been resolved recently. The developer is now working on completing the Redbook Valuation for the lender they are refinancing to."
Former radio station,50,50,7.50%,29/09/2022,06/03/2024,Paid Back in Full,5.46,5.46,1,7185SOMERTON,50,0,0.095,0.075,0.65,1,-151,15/02/2024,20,,
Brookhouse Farm,50,50,7.70%,22/09/2022,08/03/2024,Partially Repaid,5.788539158,1.65,1,9017PRESTON,13.27,36.73,10.00%,8.10%,64.80%,2,-149,08/03/2024,0,,
Brookhouse Farm,50,50,7.70%,20/10/2022,08/03/2024,Partially Repaid,5.49154037,1.57,1,9018PRESTON,13.27,36.73,10.50%,7.70%,63.50%,2,-149,08/03/2024,0,,
Roseangle,50,50,7.30%,09/09/2022,08/03/2024,Live,5.42,5.4,1,6032DUNDEE,0,50,9.25%,7.30%,70.00%,2,-149,08/03/2024,0,,
Roseangle,50,50,7.30%,07/10/2022,08/03/2024,Live,5.19,0,1,7498DUNDEE,0,50,9.25%,7.30%,70.00%,2,-149,08/03/2024,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,28/09/2022,27/03/2024,Live,5.769726027,0,1,10556NEWROM,0,50,9.50%,7.70%,69.92%,3,-130,27/03/2024,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,10/10/2022,27/03/2024,Live,5.643150685,0,1,10888NEWROM,0,50,9.50%,7.70%,69.92%,3,-130,27/03/2024,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,17/10/2022,27/03/2024,Live,5.569315068,0,1,10889NEWROM,0,50,9.50%,7.70%,69.92%,3,-130,27/03/2024,0,,
Bolstone Court Farm,50,50,8.10%,20/04/2023,18/04/2024,Paid Back in Full,3.68,3.68,1,6534HEREFORD,50,0,10.05%,10.10%,69.80%,1,-108,24/01/2024,85,https://www.crowdproperty.com/projects/13300,
Red Lion,50,50,6.80%,03/11/2022,02/05/2024,Live,5.058630137,5.04,1,9192ATHERSTO,0,50,9.50%,6.80%,38.40%,1,-94,02/05/2024,0,,
Land At 18 Dutton Close,19,19,10%,07/12/2023,04/05/2024,Live,0.7808219178,0,1,7175MARKETD,0,19,9.50%,10.00%,70.00%,1,-92,04/05/2024,0,https://www.crowdproperty.com/projects/7175," May I enquire as to why the  interest rate paid by borrower (9.5%) is lower than the interest rate paid to lenders (10%)?

"
St. Dunstans Avenue,50,50,7%,12/09/2022,10/06/2024,Paid Back in Full,6.64,6.64,1,9481LONDON,50,0,9.00%,7.00%,70.00%,2,-55,07/12/2023,186,https://www.crowdproperty.com/account/loans/603/pledge/664548,
St. Dunstans Avenue,50,50,7%,25/10/2022,10/06/2024,Paid Back in Full,6.23,6.23,1,10054LONDON,50,0,9.00%,7.00%,70.00%,2,-55,07/12/2023,186,,
Plots 1-3,50,50,7%,22/09/2022,16/06/2024,Live,6.079452055,0,1,9782CALSTOCK,0,50,10.00%,7.00%,58.40%,2,-49,16/06/2024,0,https://www.crowdproperty.com/projects/11621,
Plots 1-3,50,50,8%,20/04/2023,16/06/2024,Live,4.646575342,0,1,9785CALSTOCK,0,50,10.00%,8.00%,58.40%,2,-49,16/06/2024,0,,
East Hookers Farm,50,50,10.10%,08/02/2024,10/07/2024,Paid Back in Full,2.23,2.23,1,14897HAYWARD,50,0,10.50%,10.10%,65.28%,,-25,08/06/2024,32,https://www.crowdproperty.com/projects/14897,
Land at Bush Close,50,50,8.50%,27/04/2023,09/08/2024,Live,5.484246575,0,1,10578ESSEX,0,50,10.00%,8.50%,69.99%,1,5,09/08/2024,0,,
Land within curtilage of West Winds,19,19,10.10%,11/12/2023,29/08/2024,Live,1.382731507,0,1,13442BLACKWO,0,19,10.50%,10.10%,65.90%,1,25,29/08/2024,0,https://www.crowdproperty.com/projects/13442,
12-22 High street,50,50,8.20%,08/06/2023,07/09/2024,Live,5.116438356,4.42,1,9053ESSEX,0,50,10.00%,8.20%,70.00%,1,34,07/09/2024,0,,
Glendower Guest House,20,20,10.50%,26/10/2023,10/11/2024,Partially Repaid,1.450835221,0.92,1,13567MARKET,15.17,4.83,11.00%,10.50%,63.40%,1,98,10/11/2024,0,https://www.crowdproperty.com/projects/13567,
Hollyfold Farm,50,50,10.10%,30/11/2023,04/12/2024,Partially Repaid,3.482890593,0.43,1,12306ORMSKIR,20.26,29.74,10.50%,10.10%,60.70%,1,122,04/12/2024,0,https://www.crowdproperty.com/projects/12306,
Dart Inn,35,35,10%,28/09/2023,08/12/2024,Live,4.2,0,1,12339BURTON-,0,35,11.00%,10.50%,70.00%,1,126,08/12/2024,0,https://www.crowdproperty.com/projects/13642,
Land west of Horsbrugh Ford,50,50,10.30%,23/10/2023,13/12/2024,Live,5.897808219,0,1,10130CRADRON,0,50,10.50%,10.30%,70.00%,1,131,13/12/2024,0,,
Clifton House,50,50,10.10%,23/11/2023,26/01/2025,Live,5.963150685,0,1,14563WOLVERH,0,50,0.095,0.073,0.7,1,175,26/01/2025,0,,
Former Theatre Bar,50,50,10.10%,21/09/2023,27/01/2025,Live,6.848630137,0,1,13517STAFFOR,0,50,10.50%,10.10%,64.13%,1,176,27/01/2025,0,https://www.crowdproperty.com/projects/13517,
Land at 2 Norwich Road,50,50,10.30%,30/08/2023,28/02/2025,Live,7.746164384,0,1,13278ATTLEBO,0,50,10.50%,10.30%,70.00%,2,208,28/02/2025,0,,
Land at 2 Norwich Road,50,50,10.30%,21/12/2023,28/02/2025,Live,6.151780822,0,1,14088ATTLEBO,0,50,10.50%,10.30%,70.00%,2,208,28/02/2025,0,https://www.crowdproperty.com/projects/14088,
Beckside Farm,50,50,10.10%,23/11/2023,07/03/2025,Live,6.516575342,0,1,13300TOLTHOR,0,50,0.105,0.075,0.7,1,215,07/03/2025,0,,
Cliveland Street,50,50,10.50%,01/02/2024,20/03/2025,Live,5.954794521,0,1,13642BIRMING,0,50,10.50%,10.10%,70.00%,1,228,20/03/2025,0,https://www.crowdproperty.com/projects/14563,
Sunningdale,50,50,10.50%,12/03/2024,08/06/2025,Live,6.530136986,0,1,15386NORWICH,0,50,12.00%,10.50%,70.00%,1,308,08/06/2025,0,https://www.crowdproperty.com/projects/15386,
Land at Birkby Lane,50,50,10.50%,25/01/2024,13/12/2025,Live,9.910273973,0,1,14760BAILIFF,0,50,13.00%,10.50%,70.00%,1,496,13/12/2025,0,https://www.crowdproperty.com/projects/14760,
