Loan Ref,Company Name,Outstanding Balance,Term Remaining,Interest Rate,Earned Interest,Purchased Interest,Total Interest,Maturity Date,,,Project,Blended LTV,Loan Parts in Loan,Days to current maturity,Original maturity date,Maturity date extended
1688,Gable Construction (Southern) Limited – Drawdown 6,100,34 / 346 days,7.75%,6.59,0,6.59,06-Sep-24,View,Sell Loan,Gable Construction,64.7,1,34,06/09/2024,0
1682,Newfoundland Court Ltd – Drawdown 1,150,256 / 548 days,8.50%,10.12,0,10.12,16-Apr-25,View,Sell Loan,Newfoundland Court Ltd,64.7,1,256,07/04/2025,9
1734,Nash Properties Ltd - Drawdown 3,100,223 / 491 days,8.25%,5.99,0,5.99,14-Mar-25,View,Sell Loan,Nash Properties Ltd,71.5,2,223,14/03/2025,0
1755,Skylark Build Ltd (2) – Tranche B - Drawdown 5,100,180 / 429 days,8.50%,5.73,0,5.73,30-Jan-25,View,Sell Loan,Skylark Build Ltd,65,4,180,30/01/2025,0
1757,SC Surbiton Limited (3) – Drawdown 1,150,118 / 365 days,8.50%,8.52,0,8.52,29-Nov-24,View,Sell Loan,SC Surbiton Limited,71.5,2,118,29/11/2024,0
1808,Witley Homes (Portway) Limited (2) – Drawdown 6,100,192 / 375 days,8.25%,4.05,0,4.05,11-Feb-25,View,Sell Loan,Witley Homes,49.4,3,192,11/02/2025,0
1817,Nash Properties Ltd - Drawdown 5,100,223 / 394 days,8.25%,3.78,0,3.78,14-Mar-25,View,Sell Loan,Nash Properties Ltd,74.7,2,223,14/03/2025,0
1774,Wold Top Developments Limited (2) - Drawdown 1,34.66,48 / 275 days,8.25%,1.75,0,1.75,20-Sep-24,View,Sell Loan,Wold Top Developments Limited,64.8,1,48,20/09/2024,0
1833,Witley Homes (Portway) Limited (2) – Drawdown 7,100,192 / 349 days,8.25%,3.47,0,3.47,11-Feb-25,View,Sell Loan,Witley Homes,70,3,192,11/02/2025,0
1846,Alpine Homes Peterkins Limited – Drawdown 8,100,146 / 294 days,7.75%,3.07,0,3.07,27-Dec-24,View,Sell Loan,Alpine Homes Peterkins Limited,66.1,2,146,27/12/2024,0
1851,Tredown Barns Developments Limited (3) – Drawdown 1,100,139 / 273 days,8.00%,2.87,0,2.87,20-Dec-24,View,Sell Loan,Tredown Barns Developments Limited,65,1,139,20/12/2024,0
1859,NRP Diggle Ltd (5) – Drawdown 1,200,214 / 334 days,8.25%,5.28,0,5.28,05-Mar-25,View,Sell Loan,NRP Diggle Ltd,49.4,2,214,05/03/2025,0
1378,Skylark Build Ltd - Drawdown 9,38.84,180 / 743 days,7.12%,4.35,0,4.35,30-Jan-25,View,Sell Loan,Skylark Build Ltd,72.6,4,180,31/05/2024,244
1634,Skylark Build Ltd - Drawdown 17,25.89,180 / 541 days,7.12%,1.82,0,1.82,30-Jan-25,View,Sell Loan,Skylark Build Ltd,65,4,180,30/01/2025,0
1947,The Old Grain Store (Maidstone) Limited (3) – Drawdown 1,250,32 / 92 days,7.50%,2.99,0,2.99,04-Sep-24,View,Sell Loan,The Old Grain Store,64.7,1,32,04/09/2024,0
1944,Skylark Build Ltd (2) – Tranche B - Drawdown 11,10.96,180 / 245 days,8.50%,0.15,0.01,0.16,30-Jan-25,View,Sell Loan,Skylark Build Ltd,69.4,4,180,30/01/2025,0
1942,Witley Homes (Portway) Limited (2) – Drawdown 10,11.13,192 / 258 days,8.25%,0.14,0.01,0.15,11-Feb-25,View,Sell Loan,Witley Homes,68,3,192,11/02/2025,0
1859,NRP Diggle Ltd (5) – Drawdown 1,4.17,214 / 334 days,8.25%,0.05,0.05,0.1,05-Mar-25,View,Sell Loan,NRP Diggle Ltd,68,2,214,05/03/2025,0
1946,SC Surbiton Limited (3) – Drawdown 8,8.23,118 / 182 days,8.50%,0.11,0,0.11,29-Nov-24,View,Sell Loan,SC Surbiton Limited,65,2,118,29/11/2024,0
1953,J. C. Securities Limited (2) – Drawdown 4,100,222 / 280 days,8.50%,1.31,0,1.31,13-Mar-25,View,Sell Loan,J. C. Securities Limited,69.4,2,222,13/03/2025,0
1977,Beaumaris Road Limited (3) – Drawdown 1,250,265 / 302 days,7.40%,1.82,0,1.82,25-Apr-25,View,Sell Loan,Beaumaris Road Limited,70,1,265,25/04/2025,0
1978,Ironstone Bridge Ltd – Drawdown 2,100,256 / 292 days,8.50%,0.81,0,0.81,16-Apr-25,View,Sell Loan,Ironstone Bridge Ltd,66,1,256,16/04/2025,0
1969,Alpine Homes Fruit Market Ltd (3) – Drawdown 1,250,209 / 245 days,7.50%,1.79,0,1.79,28-Feb-25,View,Sell Loan,Alpine Homes Fruit Market Ltd,65,1,209,28/02/2025,0
1990,J. C. Securities Limited (2) – Drawdown 5,100,222 / 251 days,8.50%,0.65,0,0.65,13-Mar-25,View,Sell Loan,J. C. Securities Limited,72.3,2,222,13/03/2025,0
1822,SNV Construction Limited (4) – Drawdown 1,172.48,230 / 393 days,8.00%,6.03,0,6.03,21-Mar-25,View,Sell Loan,SNV Construction Limited,69.7,1,230,21/03/2025,0
2006,Badminton Developments Limited (2) – Drawdown 4,100,508 / 525 days,7.50%,0.34,0,0.34,24-Dec-25,View,Sell Loan,Badminton Developments Limited,69.9,1,508,24/12/2025,0
