Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
22/08/2022 14:36:18,Deposit,,"£2,500.00","£2,500.00",,,22/08/2022
30/09/2022 09:46:37,Auction completion,Apus (Grendon) Ltd - Drawdown 3,-£100.00,"£2,400.00",,,30/09/2022
06/10/2022 13:20:39,Auction completion,Airshack Projects Ltd – Drawdown 3,-£100.00,"£2,300.00",,,06/10/2022
11/10/2022 08:23:11,Auction completion,The Old Grain Store (Maidstone) Limited – Drawdown 4,-£100.00,"£2,200.00",,,11/10/2022
11/10/2022 09:26:35,Auction completion,B K Westward Limited – Drawdown 11,-£100.00,"£2,100.00",,,11/10/2022
11/10/2022 09:52:22,Auction completion,BK Grove Limited – Drawdown 9,-£100.00,"£2,000.00",,,11/10/2022
11/10/2022 10:47:57,Auction completion,AH2 Ogwen Hall Limited - Drawdown 2,-£100.00,"£1,900.00",,,11/10/2022
14/10/2022 09:37:26,Auction completion,Airshack Projects 359 Limited – Drawdown 3,-£100.00,"£1,800.00",,,14/10/2022
14/10/2022 12:34:06,Auction completion,Wold Top Developments Limited - Drawdown 4,-£150.00,"£1,650.00",,,14/10/2022
31/10/2022 09:48:13,Auction completion,Rainworth Developments 2021 Limited (1) – Drawdown 8,-£200.00,"£1,450.00",,,31/10/2022
02/11/2022 09:36:45,Auction completion,MMS Developments Ltd – Drawdown 6,-£200.00,"£1,250.00",,,02/11/2022
02/11/2022 09:54:33,Auction completion,Apus (Grendon) Ltd - Drawdown 4,-£100.00,"£1,150.00",,,02/11/2022
03/11/2022 08:39:56,Auction completion,Aspire Designer Homes (Medway) Ltd – Drawdown 4,-£250.00,£900.00,,,03/11/2022
10/11/2022 09:33:27,Auction completion,The Old Grain Store (Maidstone) Limited – Drawdown 5,-£150.00,£750.00,,,10/11/2022
11/11/2022 09:21:17,Auction completion,Wren Homes and Developments Ltd – Drawdown 3,-£250.00,£500.00,,,11/11/2022
11/11/2022 09:42:22,Auction completion,Gallypot Woods Development Limited - Drawdown 6,-£200.00,£300.00,,,11/11/2022
11/11/2022 10:11:25,Auction completion,Badminton Developments Limited – Drawdown 3,-£250.00,£50.00,,,11/11/2022
29/12/2022 11:52:56,I and F fee,B K Westward Limited – Drawdown 11,-£0.16,£151.31,,,29/12/2022
29/12/2022 11:52:56,Loan Repayment,B K Westward Limited – Drawdown 11,£100.00,£151.47,,,29/12/2022
29/12/2022 11:52:56,Loan Repayment Interest,B K Westward Limited – Drawdown 11,£1.47,£51.47,,,29/12/2022
18/01/2023 10:13:39,Auction completion,Skylark Build Ltd - Drawdown 9,-£150.00,£1.31,,,18/01/2023
16/02/2023 16:45:23,Loan Repayment Interest,Badminton Developments Limited – Drawdown 3 Ref: 212253,£4.77,£255.58,,,16/02/2023
