Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9816818,8903202,"£1,545,000","£474,394",30.71%,11 Oct 2024,£27.752047,0.50%,Extended (No ICF),3,9816818,1,11/04/2024,183
9129586,8870054,"£5,000,000","£425,000",8.50%,21 Jun 2025,£24.862500,0.45%,Extended (No ICF),1,9129586,1,21/12/2023,548
9533103,8304931,"£2,215,750","£1,074,938",48.51%,15 Jan 2025,£62.883860,1.13%,Extended (No ICF),4,9533103,1,15/01/2024,366
9849479,8321796,"£2,714,750","£1,022,552",37.67%,02 Sep 2024,£59.819285,1.07%,Extended (No ICF),4,9849479,1,02/12/2023,275
9539675,8377015,"£3,250,000","£1,546,787",47.59%,23 Oct 2024,£90.487023,1.62%,Extended (No ICF),4,9539675,1,20/12/2023,308
9725716,8862114,"£2,478,340","£879,032",43.54%,29 Oct 2024,£51.423350,0.92%,Extended (No ICF),4,9725716,2,29/04/2024,183
9519806,8338102,"£13,594,171","£3,392,912",24.96%,21 Dec 2024,£198.485328,3.56%,Extended (No ICF),4,9519806,1,21/12/2023,366
9497296,8477242,"£360,000","£184,636",51.29%,31 Oct 2024,£10.801214,0.19%,Default (No Suspension - No ICF),2B,9497296,1,29/08/2023,429
9735908,8928256,"£870,000","£432,500",49.71%,02 Sep 2024,£25.301250,0.45%,Extended (No ICF),2,9735908,1,02/03/2024,184
9814898,8504135,"£4,390,000","£1,000,000",22.78%,14 Sep 2024,£58.500000,1.05%,Extended (No ICF),1,9814898,1,14/09/2024,0
9196720,8494639,"£1,875,000","£812,500",43.33%,04 Mar 2025,£47.531250,0.85%,Extended (No ICF),2,9196720,1,04/03/2025,0
9384686,8927567,"£350,000","£153,000",43.71%,27 Jan 2025,£8.950500,0.16%,Extended (No ICF),2,9384686,1,27/04/2024,275
9869541,8192608,"£1,085,000","£480,000",44.24%,01 Nov 2024,£28.080000,0.50%,Extended (No ICF),2,9869541,1,01/05/2024,184
