DATE,DESCRIPTION,CREDIT,DEBIT,BALANCE,Cash Flow,Date Value
22/06/2022 16:50:00,Bank Deposit,,"3,000.00","3,000.00","-3,000.00",22/06/2022
24/06/2022 12:06:00,Premium Interest,0.33,,0.33,0.329,24/06/2022
25/06/2022 11:52:00,Premium Interest,0.33,,0.66,0.329,25/06/2022
26/06/2022 11:43:00,Premium Interest,0.33,,0.99,0.329,26/06/2022
27/06/2022 11:56:00,Premium Interest,0.33,,1.32,0.329,27/06/2022
28/06/2022 12:12:00,Premium Interest,0.33,,1.64,0.329,28/06/2022
29/06/2022 11:53:00,Premium Interest,0.33,,1.97,0.329,29/06/2022
30/06/2022 12:07:00,Premium Interest,0.33,,2.30,0.329,30/06/2022
01/07/2022 11:58:00,Premium Interest,0.33,,2.63,0.329,01/07/2022
02/07/2022 12:07:00,Premium Interest,0.33,,2.96,0.329,02/07/2022
03/07/2022 11:50:00,Premium Interest,0.33,,3.29,0.329,03/07/2022
04/07/2022 11:53:00,Premium Interest,0.33,,3.62,0.329,04/07/2022
05/07/2022 12:19:00,Premium Interest,0.34,,3.95,0.337,05/07/2022
06/07/2022 12:05:00,Premium Interest,0.34,,4.29,0.337,06/07/2022
07/07/2022 12:09:00,Premium Interest,0.34,,4.63,0.337,07/07/2022
08/07/2022 12:06:00,Premium Interest,0.34,,4.96,0.337,08/07/2022
09/07/2022 12:13:00,Premium Interest,0.34,,5.30,0.337,09/07/2022
10/07/2022 12:00:00,Premium Interest,0.34,,5.64,0.337,10/07/2022
11/07/2022 12:02:00,Premium Interest,0.34,,5.98,0.337,11/07/2022
12/07/2022 12:24:00,Premium Interest,0.34,,6.31,0.337,12/07/2022
13/07/2022 12:10:00,Premium Interest,0.34,,6.65,0.337,13/07/2022
14/07/2022 12:09:00,Premium Interest,0.34,,6.99,0.337,14/07/2022
15/07/2022 12:18:00,Premium Interest,0.34,,7.32,0.337,15/07/2022
16/07/2022 12:17:00,Premium Interest,0.34,,7.66,0.337,16/07/2022
17/07/2022 12:02:00,Premium Interest,0.34,,8.00,0.337,17/07/2022
18/07/2022 12:07:00,Premium Interest,0.34,,8.33,0.337,18/07/2022
