<<<<<<< HEAD
,Int bearing amt,Non-IB cash,Total amt,No loans,Avg loan amt,Avg net AER,Blended LTV,Avg term,Max term,Avg ttm,Max ttm,Non-perform,Long default,Short default,Int default,Dev sector,Comm sector,No a/c,Avg a/c amt
2023-08-09,14672.502294000327,119.5,14792.002294000327,596.0,24.52066917281934,0.0630174624925729,0.5389378802874122,13.757239236837226,83.0,7.77015023368508,50.99141669408141,0.0422122463429389,122.14835377098454,269.920888079498,224.83398460910607,0.7353593869284593,0.2646406130715407,6.0,2435.7198045000546
2023-09-03,14606.005773012406,410.19,15016.195773012409,588.0,24.686066142878243,0.0637523181980718,0.536726416382133,13.807498619304749,83.0,7.346046915153243,50.00448604838951,0.0318666921903866,124.38536261712,117.68387929387607,220.48876153498,0.7341834230540488,0.2658165769459512,6.0,2419.234482002068
2023-10-15,14741.909783920884,89.84,14831.749783920885,559.0,26.035260178749343,0.0649008828316811,0.5338570773047605,13.872631116703191,78.0,7.2512940372115136,49.01755540269762,0.0449834522290169,121.99055787235,332.7724529489861,199.91312750779,0.7362397857393574,0.2637602142606427,6.0,2425.6184066534806
2023-11-25,14448.470484642625,440.01,14888.480484642623,552.0,25.82133276746852,0.0677638817729836,0.5361022845385149,15.104753361202892,78.0,9.2961740640234,48.00071776774232,0.0621252532111899,121.99055792333,478.669999701386,284.83401608430006,0.7318761135331658,0.2681238864668341,6.0,2375.562614607104
2023-12-22,14817.618364808908,117.63,14935.248364808907,544.0,27.069824196339905,0.0691209526587994,0.5388264756727659,14.690364526206976,78.0,9.227566616305714,47.01378712205042,0.1378173277184629,270.01055794216,531.0122212550862,1228.47303370895,0.7420472362851034,0.2579527637148965,6.0,2454.330727134818
=======
,Int bearing amt,Non-IB cash,Total amt,No loans,Avg loan amt,Avg net AER,Blended LTV,Avg term,Max term,Avg ttm,Max ttm,Ext 90d,Non-perform,Long default,Short default,Int default,Dev sector,Comm sector,No a/c,Avg a/c amt
2023-08-09,14672.502294000327,119.5,14792.002294000327,596.0,24.52066917281934,0.0630174624925729,0.5389378802874122,13.757239236837226,83.0,7.77015023368508,50.99141669408141,,0.0422122463429389,122.14835377098454,269.920888079498,224.83398460910607,0.7353593869284593,0.2646406130715407,6.0,2435.7198045000546
2023-09-03,14606.005773012406,410.19,15016.195773012409,588.0,24.686066142878243,0.0637523181980718,0.536726416382133,13.807498619304749,83.0,7.346046915153243,50.00448604838951,,0.0318666921903866,124.38536261712,117.68387929387607,220.48876153498,0.7341834230540488,0.2658165769459512,6.0,2419.234482002068
2023-10-15,14741.909783920884,89.84,14831.749783920885,559.0,26.035260178749343,0.0649008828316811,0.5338570773047605,13.872631116703191,78.0,7.2512940372115136,49.01755540269762,,0.0449834522290169,121.99055787235,332.7724529489861,199.91312750779,0.7362397857393574,0.2637602142606427,6.0,2425.6184066534806
2023-11-25,14448.470484642625,440.01,14888.480484642623,552.0,25.82133276746852,0.0677638817729836,0.5361022845385149,15.104753361202892,78.0,9.2961740640234,48.00071776774232,,0.0621252532111899,121.99055792333,478.669999701386,284.83401608430006,0.7318761135331658,0.2681238864668341,6.0,2375.562614607104
2023-12-22,14817.618364808908,117.63,14935.248364808907,544.0,27.069824196339905,0.0691209526587994,0.5388264756727659,14.690364526206976,78.0,9.227566616305714,47.01378712205042,,0.1378173277184629,270.01055794216,531.0122212550862,1228.47303370895,0.7420472362851034,0.2579527637148965,6.0,2454.330727134818
<<<<<<< HEAD
2024-03-23,14885.534902534384,136.5,15022.034902534384,571.0,25.814129472039202,0.0694621006720682,0.5406577205311154,14.694087457485505,86.0,8.263370293638248,43.99318120644795,,0.14891657456432994,621.23288820266,350.09737259428607,1223.68038065102,0.7454336144172303,0.2545663855827698,6.0,2456.6446547557307
>>>>>>> 240323c
=======
2024-03-23,14885.534902534384,136.5,15022.034902534384,571.0,25.814129472039202,0.0694621006720682,0.5421371319291063,14.694087457485505,86.0,8.243248272868723,43.99318120644795,0.19902934885331094,0.15909305651974964,721.2328882026599,400.09737259428607,1223.6803806510202,0.7454336144172302,0.2545663855827698,6.0,2456.6446547557307
>>>>>>> 240323c
