Date,Description,Amount,Running Total
2022-06-20,DEPOSIT,2000,2000
2022-07-05,Primary Loan Invesments For Staines Mixed Use - Tranche A ( 1 loan part ),-1000,1000
2022-07-08,Primary Loan Invesments For Wolverhampton Office Block - Tranche A ( 1 loan part ),-1000,0
2022-08-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,4.55
2022-08-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,4.095
2022-08-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,9.011666667
2022-08-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,8.52
2022-09-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,13.07
2022-09-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,12.615
2022-09-05,Bank Interest from 06 06 2022 to 04 09 2022,0.01,12.625
2022-09-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,17.54166667
2022-09-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,17.05
2022-10-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,21.6
2022-10-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,21.145
2022-10-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,26.06166667
2022-10-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,25.57
2022-11-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,30.12
2022-11-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,29.665
2022-11-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,34.58166667
2022-11-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,34.09
2022-12-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,38.64
2022-12-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,38.185
2022-12-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,43.10166667
