platform_account_name,nonib_cash,ib_cash,accrued_int
Loanpad 60d Access,9.92,73.132939,0.0
Loanpad 60d Access,6.92,108.516077,0.0
Loanpad 60d Access,6.92,108.516077,0.0
Proplend,1016.77,0.0,0.0
CrowdProperty AutoInvest,134.2,0.0,0.0
CrowdProperty AutoInvest,134.2,0.0,0.0
CrowdProperty AutoInvest,134.2,0.0,0.0
CrowdProperty AutoInvest,0.0,0.0,0.0
Invest & Fund,4.54,0.0,97.64
Invest & Fund,616.39,0.0,100.39
Invest & Fund,616.39,0.0,100.39
Assetz Capital 90d Access,73.93,0.0,0.0
Assetz Capital 90d Access,73.93,0.0,0.0
Kuflink 24m Term 28133,0.0,7.09,93.39
Kuflink 24m Term 28133,0.0,7.09,93.39
Kuflink 24m Term 28133,0.0,7.09,103.64
Kuflink 24m Term 28133,0.0,7.09,103.64
Loanpad 60d Access,6.92,108.516077,0.0
