Project,Amount,Received,Interest Rate,Loan Start,Loan End,Status,Expected Interest,Interest Paid,Auto Invest,Bank Reference,Repaid Amount,Outstanding Capital,Gross APR,Net APR,Blended LTV,Loan Parts in Loan,Days to current maturity,Original maturity date,Maturity date extended,URL,Notes
1-3 Crosby Road South,50,50,7%,19/10/2022,15/01/2024,Paid Back in Full,4.59,4.59,1,9673LIVERPOO,50,0,0.1,0.07,0.7,1,-338,18/10/2023,89,,Developer progressing the refinance process since June. Process has been slower than anticipated but valuation has now been completed and formal terms are currently awaited. 
12-22 High street,50,50,8.20%,08/06/2023,07/09/2024,Live,5.122465753,5.1,1,9053ESSEX,0,50,10.00%,8.20%,70.00%,1,-102,07/09/2024,0,,
30-31 Laurie Grove,50,50,7.20%,16/11/2022,25/08/2023,Paid Back in Full,2.79,2.79,1,10700LONDON,50,0,0.1,0.072,0.6691,1,-481,15/11/2023,-82,,
45-51 Mersey View,50,50,7.50%,21/11/2022,22/11/2023,Paid Back in Full,3.76,3.76,1,10670LIVERPO,50,0,11.00%,10.50%,67.00%,1,-392,20/11/2023,2,https://www.crowdproperty.com/projects/9270,
Beckside Farm,50,50,10.10%,23/11/2023,07/03/2025,Partially Repaid,6.049960671,1.76,1,13300TOLTHOR,17.08,32.92,0.105,0.075,0.7,1,79,07/03/2025,0,,
Bolstone Court Farm,50,50,8.10%,20/04/2023,18/04/2024,Paid Back in Full,3.68,3.68,1,6534HEREFORD,50,0,10.05%,10.10%,69.80%,1,-244,24/01/2024,85,https://www.crowdproperty.com/projects/13300,
Brookhouse Farm,50,50,7.70%,22/09/2022,04/10/2024,Paid Back in Full,7.850000012,7.85,1,9017PRESTON,50,0,10.00%,8.10%,64.80%,2,-75,08/03/2024,210,,
Brookhouse Farm,50,50,7.70%,20/10/2022,04/10/2024,Paid Back in Full,7.55,7.55,1,9018PRESTON,50,0,10.50%,7.70%,63.50%,2,-75,08/03/2024,210,,
Castle Drive,50,50,7.30%,23/09/2022,12/01/2024,Paid Back in Full,4.51,4.51,1,5820REIGATE,50,0,10.50%,7.70%,63.50%,1,-341,22/12/2023,21,,
Clifton House,50,50,10.10%,23/11/2023,26/01/2025,Live,5.949315068,5.05,1,14563WOLVERH,0,50,0.095,0.073,0.7,1,39,26/01/2025,0,,
Cliveland Street,50,50,10.50%,01/02/2024,20/03/2025,Live,5.954794521,0,1,13642BIRMING,0,50,10.50%,10.10%,70.00%,1,92,20/03/2025,0,https://www.crowdproperty.com/projects/14563,
Dart Inn,35,35,10%,28/09/2023,08/12/2024,Partially Repaid,4.1330148,0.6,1,12339BURTON-,5.56,29.44,11.00%,10.50%,70.00%,1,-10,08/12/2024,0,https://www.crowdproperty.com/projects/13642,
Development Site at Holly Farm,50,50,7.50%,12/10/2022,01/08/2022,Partially Repaid,2.522047722,1.94,1,6206HALSALL,11.2,38.8,9.50%,7.50%,57.00%,1,-870,01/08/2022,0,https://www.crowdproperty.com/projects/6206,"Works are now completed on site, and we are now waiting on the sales to go through in order to pay down the loan. We have interested parties on 5 out of 8 of the plots, and once these sales have gone through, you will then receive partial repayments of capital and interest. "
East Hookers Farm,50,50,10.10%,08/02/2024,10/07/2024,Paid Back in Full,2.23,2.23,1,14897HAYWARD,50,0,10.50%,10.10%,65.28%,,-161,08/06/2024,32,https://www.crowdproperty.com/projects/14897,
Enfield Avenue,50,50,7.70%,28/09/2022,08/11/2023,Live,4.293013699,0,1,9502GRIMSBY,0,50,10.00%,7.70%,70.00%,1,-406,08/11/2023,0,,
Flat 4,50,50,7.40%,30/09/2022,09/10/2023,Paid Back in Full,4.1,4.1,1,7063MANCHEST,50,0,0.1,0.074,0.7,1,-436,29/06/2023,102,,"Nearing completion, with only the final walls left to be painted. Refinance process is pregressing but blocked by an outstanding land registry issue."
Former radio station,50,50,7.50%,29/09/2022,06/03/2024,Paid Back in Full,5.46,5.46,1,7185SOMERTON,50,0,0.095,0.075,0.65,1,-287,15/02/2024,20,,
Former Theatre Bar,50,50,10.10%,21/09/2023,27/01/2025,Live,6.848630137,0,1,13517STAFFOR,0,50,10.50%,10.10%,64.13%,1,40,27/01/2025,0,https://www.crowdproperty.com/projects/13517,
Gainsborough Riverside Gateway,50,50,7.60%,29/09/2022,12/01/2023,Live,1.103561644,0,1,6110GAINSBOR,0,50,9.50%,7.60%,49.00%,1,-706,12/01/2023,0,https://www.crowdproperty.com/projects/6110,Borrower discussing refinance with new lender which should repay the loan in full.
Glendower Guest House,20,20,10.50%,26/10/2023,07/11/2024,Paid Back in Full,1.45,1.45,1,13567MARKET,20,0,11.00%,10.50%,63.40%,1,-41,10/11/2024,-3,https://www.crowdproperty.com/projects/13567,
Hazelwood,50,50,7.10%,14/10/2022,30/12/2023,Live,4.308630137,0,1,9289WALSALL,0,50,9.50%,7.10%,51.20%,1,-354,30/12/2023,0,,
Hollyfold Farm,50,50,10.10%,30/11/2023,29/08/2024,Paid Back in Full,2.68,2.68,1,12306ORMSKIR,50,0,10.50%,10.10%,60.70%,1,-111,04/12/2024,-97,https://www.crowdproperty.com/projects/12306,
Home Farm,50,50,7.20%,23/09/2022,22/12/2023,Live,4.519726027,4.5,1,10195LUTTERW,0,50,10.00%,7.20%,70.00%,3,-362,22/12/2023,0,,
Home Farm,50,50,7.20%,13/10/2022,22/12/2023,Live,4.300273973,0,1,10664LUTTERW,0,50,10.00%,7.20%,70.00%,3,-362,22/12/2023,0,,
Home Farm,50,50,7.20%,15/12/2022,22/12/2023,Live,3.67890411,0,1,10667LUTTERW,0,50,10.00%,7.20%,70.00%,3,-362,22/12/2023,0,,
Hope All Saints Garden Centre,50,50,7.20%,20/10/2022,07/11/2023,Paid Back in Full,3.87,3.87,1,9087NEWROMN,50,0,0.095,0.072,0.667,1,-407,13/10/2023,25,https://www.crowdproperty.com/account/loans/591/pledge/659824,
Land Adjacent Pendre,50,50,7.70%,03/03/2023,30/12/2023,Partially Repaid,2.615205526,0,1,9695ABERYSTW,9.09,40.91,9.50%,7.70%,70.00%,1,-354,30/12/2023,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,28/09/2022,27/03/2024,Live,5.769726027,0,1,10556NEWROM,0,50,9.50%,7.70%,69.92%,3,-266,27/03/2024,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,10/10/2022,27/03/2024,Live,5.643150685,0,1,10888NEWROM,0,50,9.50%,7.70%,69.92%,3,-266,27/03/2024,0,,
Land Adjacent to Fairlight Terrace,50,50,7.70%,17/10/2022,27/03/2024,Live,5.569315068,0,1,10889NEWROM,0,50,9.50%,7.70%,69.92%,3,-266,27/03/2024,0,,
Land At 18 Dutton Close,19,19,10%,07/12/2023,04/05/2024,Partially Repaid,0.9804557658,0.41,1,7175MARKETD,5.12,13.88,9.50%,10.00%,70.00%,1,-228,04/05/2024,0,https://www.crowdproperty.com/projects/7175," May I enquire as to why the  interest rate paid by borrower (9.5%) is lower than the interest rate paid to lenders (10%)?

"
Land at 2 Norwich Road,50,50,10.30%,30/08/2023,28/02/2025,Partially Repaid,7.014069995,1.8,1,13278ATTLEBO,16.35,33.65,10.50%,10.30%,70.00%,2,72,28/02/2025,0,,
Land at 2 Norwich Road,50,50,10.30%,21/12/2023,28/02/2025,Partially Repaid,5.420865545,1.28,1,14088ATTLEBO,16.35,33.65,10.50%,10.30%,70.00%,2,72,28/02/2025,0,https://www.crowdproperty.com/projects/14088,
Land at Birkby Lane,50,50,10.50%,25/01/2024,13/12/2025,Live,9.913287671,4.39,1,14760BAILIFF,0,50,13.00%,10.50%,70.00%,1,360,13/12/2025,0,https://www.crowdproperty.com/projects/14760,
Land at Bush Close,50,50,8.50%,27/04/2023,02/09/2024,Paid Back in Full,5.84,5.84,1,10578ESSEX,50,0,10.00%,8.50%,69.99%,1,-107,09/08/2024,24,,
Land at Hopcott Road,25,25,6.90%,07/09/2022,14/03/2023,Paid Back in Full,0.89,0.89,1,10220SOMERSE,25,0,0.1,0.069,0.625,2,-645,14/03/2023,0,,
