,Paid in capital,Distr capital,Int bearing,Non bearing,Accr int,Residual value,DPI,RVPI,TVPI,Inv mnths,TVPI CAGR,Net AER,Blended LTV,No loans,Avg loan amt,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,,,2387.66,154.23,,2541.89,,,,,,0.0669767792350516,0.6395350998408037,14.0,176.78142857142856,12.539147618275116,24.411078621414724,6.211828930764309,16.119867212967673,,,0.0808100398393496,0.0,200.0,0.0
2023-09-03,,,2387.66,154.23,,2541.89,,,,,,0.0670773510466305,0.6395164135597188,13.0,183.66615384615383,12.717678946775736,24.411078621414724,5.51194700570761,15.3721924813829,,,0.0,0.0,0.0,0.0
2023-10-15,,,2509.7,60.99,,2570.69,,,,,,0.0690528756425061,0.6539523847471802,15.0,167.31333333333333,12.60500354985635,24.411078621414724,6.540299328487204,16.119867212967673,,,0.0,0.0,0.0,0.0
2023-11-25,,,2183.8100000000004,417.09,,2600.9000000000005,,,,,,0.0703227670905426,0.6582689886024874,16.0,136.48812500000005,11.914072998462387,24.411078621414724,6.107957766923652,15.162843556539164,,,0.0,0.0,0.0,0.0
2023-12-22,,,2567.8500000000004,64.89,,2632.74,,,,,,0.0730450256050773,0.6465715871254151,16.0,160.49062500000002,10.801498319605638,24.411078621414724,7.30879194892407,14.35535484642761,,,0.0,0.0,0.0,0.0
2024-03-31,,,2640.95,22.43,,2663.38,,,,,,0.0735892709063012,0.6624088225827819,19.0,138.9973684210526,11.219648834639546,24.411078621414724,6.838819224924013,11.394562909351915,8.35538347942975,0.0226168613567087,0.0,0.0,0.0,0.0
2024-06-30,,,2697.4700000000003,17.88,,2715.3500000000004,,,,,,0.072222416189984,0.674790084783147,18.0,149.85944444444445,10.817445189949044,24.411078621414724,6.831521479169457,8.912282800490475,4.013746214045012,0.01439867727908,0.0,0.0,0.0,0.0
2024-08-03,,,3117.3,4.54,,3121.84,,,,,,0.0721613017675539,0.6639435986270157,20.0,155.865,10.796375057839269,24.411078621414724,6.681865641250157,16.06005323444089,3.473185128155775,0.0124595002085137,0.0,0.0,0.0,0.0
2024-08-04,,,3117.3,4.54,,3121.84,,,,,,0.0721613017675539,0.6639435986270157,20.0,155.865,10.796375057839269,24.411078621414724,6.649014130080644,16.030146245177498,3.473185128155775,0.0124595002085137,0.0,0.0,0.0,0.0
2024-09-22,3350.0,0.0,2970.33,616.39,100.39,3687.11,0.0,1.1006298507462686,1.1006298507462686,25.03531885534053,0.047031192000891,0.0721777432137158,0.6598202792282326,17.0,174.72529411764705,11.076349092038388,24.411078621414724,6.571088280030259,14.564703771271349,1.51088936246141,0.0043294852760467,0.0841657324270367,0.0,250.0,0.0
2024-12-18,3350.0,0.0,3106.1,524.35,108.2,3738.65,0.0,1.1160149253731342,1.1160149253731342,27.893682031737686,0.0483537934839171,0.0718756559672886,0.6507690415633737,16.999999999999996,182.7117647058824,11.445493488291005,18.004402536386635,6.151385022080031,15.252564524329337,0.4346286339783007,0.0,0.0,0.0,0.0,0.0
2024-12-19,3350.0,0.0,3106.1,524.35,108.2,3738.6499999999996,0.0,1.1160149253731342,1.1160149253731342,27.926536780891677,0.04829555458596513,0.0718756559672886,0.6507690415633737,16.999999999999996,182.7117647058824,11.445493488291005,18.004402536386635,6.118533510910516,15.222657535065945,0.4346286339783007,0.0,0.01615530729854158,0.0,50.18,0.0
