,Paid in capital,Distr capital,Int bearing,Non bearing,Accr int,Residual value,DPI,RVPI,TVPI,Inv mnths,TVPI CAGR,Net AER,Blended LTV,No loans,Avg loan amt,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,,,5230.0,8.51,,5238.51,,,,,,0.06108772952,0.4472043695,186.0,27.80546523,2.0,2.0,1.97109067,1.794419356,,,0.006791364848,0.0,0.0,35.123693
2023-09-03,,,5260.0,5.59,,5265.59,,,,,,0.0627979288485491,0.4446996098742798,180.0,28.71889510555556,1.999999999999984,2.0,1.971090670170812,1.7944193558034514,,,0.0067806957117656,0.0,0.0,35.052136000000004
2023-10-15,,,5300.0,3.93,,5303.93,,,,,,0.0636817746722508,0.4302055515456647,174.0,29.378164689655176,1.999999999999983,2.0,1.971090670170812,1.7944193558034514,,,0.006866792616179,0.0,0.0,35.101675
2023-11-25,,,5340.0,2.74,,5342.74,,,,,,0.0646415964885282,0.4271769220977186,176.0,29.232415926136365,1.99999999999998,2.0,1.9710906701708129,1.7944193558034514,,,0.0246161917475469,0.0,0.0,126.647973
2023-12-22,,,5360.0,7.51,,5367.51,,,,,,0.0659457941011365,0.4334941085939399,179.0,29.43221227932961,1.999999999999984,2.0,1.9710906701708115,1.7944193558034514,,,0.0065457069636185,0.0,0.0,34.48518
2024-03-31,,,5450.0,6.84,,5456.84,,,,,,0.0653931125818923,0.4360371211634191,196.0,27.10093380612245,1.999999999999988,2.0,1.971090670170816,1.7944193558034514,106.3830850383486,0.4340048286238532,0.0,0.0,0.0,0.0
2024-06-30,,,5550.0,2.55,,5552.55,,,,,,0.066367835338493,0.4394901403869402,230.0,23.868386569565217,1.999999999999984,2.0,1.971090670170814,1.7944193558034514,81.4798965744144,0.3260276423423423,0.0056119324324324,0.0,0.0,31.146225
2024-08-03,,,5580.0,7.14,,5587.14,,,,,,0.0662170959977581,0.4400259930825642,227.0,24.25932625991189,1.9999999999999825,2.0,1.9710906701708104,1.7944193558034514,90.35888225340504,0.3145370935483871,0.0074135240143369,0.0,0.0,41.367464
2024-08-04,,,5580.0,7.14,,5587.14,,,,,,0.0662170959977581,0.4400259930825642,227.0,24.25932625991189,1.9999999999999825,2.0,1.9710906701708104,1.7944193558034514,90.35888225340504,0.3145370935483871,0.0074135240143369,0.0,0.0,41.367464
2024-09-22,5000.0,0.0,5630.0,6.92,0.0,5636.92,0.0,1.127384,1.127384,27.03945855373394,0.0546522400840674,0.0658032212533683,0.4383020886794315,230.0,24.00645183913044,1.999999999999984,2.0,1.9710906701708104,1.7944193558034514,127.47751049165188,0.3687087702129672,0.0055699982883025,0.0,0.0,30.754656
2024-12-18,5000.0,0.0,5720.0,3.59,0.0,5723.59,0.0,1.1447180000000001,1.1447180000000001,29.89782173013109,0.05574649325857206,0.06544386385190659,0.442959071402097,243.0,22.95873855967078,1.9999999999999805,2.0,1.971090670170814,1.7944193558034514,142.77035998863636,0.3839894357841425,0.0019704775545383623,0.0,0.0,10.993242
