DATE,DESCRIPTION,CREDIT,DEBIT,BALANCE,Cash Flow,Date Value
22/06/2022 16:50:00,Bank Deposit,"£3,000.000000",,"£3,000.000000","3,000.00",22/06/2022
23/06/2022 11:53:00,Transfer to Premium,,"£3,000.000000",£0.000000,"-3,000.000",23/06/2022
24/06/2022 12:06:00,Premium Interest,£0.328767,,£0.328767,0.329,24/06/2022
25/06/2022 11:52:00,Premium Interest,£0.328767,,£0.657534,0.329,25/06/2022
26/06/2022 11:43:00,Premium Interest,£0.328767,,£0.986301,0.329,26/06/2022
27/06/2022 11:56:00,Premium Interest,£0.328767,,£1.315068,0.329,27/06/2022
28/06/2022 12:12:00,Premium Interest,£0.328767,,£1.643835,0.329,28/06/2022
29/06/2022 11:53:00,Premium Interest,£0.328767,,£1.972602,0.329,29/06/2022
30/06/2022 12:07:00,Premium Interest,£0.328767,,£2.301369,0.329,30/06/2022
01/07/2022 11:58:00,Premium Interest,£0.328767,,£2.630136,0.329,01/07/2022
02/07/2022 12:07:00,Premium Interest,£0.328767,,£2.958903,0.329,02/07/2022
03/07/2022 11:50:00,Premium Interest,£0.328767,,£3.287670,0.329,03/07/2022
04/07/2022 11:53:00,Premium Interest,£0.328767,,£3.616437,0.329,04/07/2022
05/07/2022 12:19:00,Premium Interest,£0.336986,,£3.953423,0.337,05/07/2022
06/07/2022 12:05:00,Premium Interest,£0.336986,,£4.290409,0.337,06/07/2022
07/07/2022 12:09:00,Premium Interest,£0.336986,,£4.627395,0.337,07/07/2022
08/07/2022 12:06:00,Premium Interest,£0.336986,,£4.964381,0.337,08/07/2022
09/07/2022 12:13:00,Premium Interest,£0.336986,,£5.301367,0.337,09/07/2022
10/07/2022 12:00:00,Premium Interest,£0.336986,,£5.638353,0.337,10/07/2022
11/07/2022 12:02:00,Premium Interest,£0.336986,,£5.975339,0.337,11/07/2022
12/07/2022 12:24:00,Premium Interest,£0.336986,,£6.312325,0.337,12/07/2022
13/07/2022 12:10:00,Premium Interest,£0.336986,,£6.649311,0.337,13/07/2022
14/07/2022 12:09:00,Premium Interest,£0.336986,,£6.986297,0.337,14/07/2022
15/07/2022 12:18:00,Premium Interest,£0.336986,,£7.323283,0.337,15/07/2022
16/07/2022 12:17:00,Premium Interest,£0.336986,,£7.660269,0.337,16/07/2022
17/07/2022 12:02:00,Premium Interest,£0.336986,,£7.997255,0.337,17/07/2022
18/07/2022 12:07:00,Premium Interest,£0.336986,,£8.334241,0.337,18/07/2022
19/07/2022 12:27:00,Premium Interest,£0.336986,,£8.671227,0.337,19/07/2022
20/07/2022 12:08:00,Premium Interest,£0.336986,,£9.008213,0.337,20/07/2022
21/07/2022 12:35:00,Premium Interest,£0.336986,,£9.345199,0.337,21/07/2022
22/07/2022 12:38:00,Premium Interest,£0.336986,,£9.682185,0.337,22/07/2022
23/07/2022 12:23:00,Transfer to Premium,,£10.000000,£0.019171,-10.000,23/07/2022
23/07/2022 12:23:00,Premium Interest,£0.336986,,£10.019171,0.337,23/07/2022
24/07/2022 12:34:00,Premium Interest,£0.338109,,£0.357280,0.338,24/07/2022
25/07/2022 12:26:00,Premium Interest,£0.338109,,£0.695389,0.338,25/07/2022
26/07/2022 12:40:00,Premium Interest,£0.338109,,£1.033498,0.338,26/07/2022
27/07/2022 12:55:00,Premium Interest,£0.338109,,£1.371607,0.338,27/07/2022
28/07/2022 11:43:00,Premium Interest,£0.338109,,£1.709716,0.338,28/07/2022
29/07/2022 08:06:00,Premium Interest,£0.338109,,£2.047825,0.338,29/07/2022
30/07/2022 08:06:00,Premium Interest,£0.338109,,£2.385934,0.338,30/07/2022
31/07/2022 08:05:00,Premium Interest,£0.338109,,£2.724043,0.338,31/07/2022
01/08/2022 08:06:00,Premium Interest,£0.338109,,£3.062152,0.338,01/08/2022
02/08/2022 08:07:00,Premium Interest,£0.346356,,£3.408508,0.346,02/08/2022
03/08/2022 08:05:00,Premium Interest,£0.346356,,£3.754864,0.346,03/08/2022
04/08/2022 08:06:00,Premium Interest,£0.346356,,£4.101220,0.346,04/08/2022
05/08/2022 08:05:00,Premium Interest,£0.346356,,£4.447576,0.346,05/08/2022
06/08/2022 08:06:00,Premium Interest,£0.346356,,£4.793932,0.346,06/08/2022
07/08/2022 08:06:00,Premium Interest,£0.346356,,£5.140288,0.346,07/08/2022
08/08/2022 08:05:00,Premium Interest,£0.346356,,£5.486644,0.346,08/08/2022
09/08/2022 08:06:00,Premium Interest,£0.346356,,£5.833000,0.346,09/08/2022
10/08/2022 08:05:00,Premium Interest,£0.346356,,£6.179356,0.346,10/08/2022
11/08/2022 08:05:00,Premium Interest,£0.346356,,£6.525712,0.346,11/08/2022
12/08/2022 08:07:00,Premium Interest,£0.346356,,£6.872068,0.346,12/08/2022
13/08/2022 08:05:00,Premium Interest,£0.346356,,£7.218424,0.346,13/08/2022
14/08/2022 08:06:00,Premium Interest,£0.346356,,£7.564780,0.346,14/08/2022
15/08/2022 08:05:00,Premium Interest,£0.346356,,£7.911136,0.346,15/08/2022
16/08/2022 08:06:00,Premium Interest,£0.346356,,£8.257492,0.346,16/08/2022
17/08/2022 08:06:00,Premium Interest,£0.346356,,£8.603848,0.346,17/08/2022
18/08/2022 08:06:00,Premium Interest,£0.346356,,£8.950204,0.346,18/08/2022
19/08/2022 08:06:00,Premium Interest,£0.346356,,£9.296560,0.346,19/08/2022
20/08/2022 08:07:00,Premium Interest,£0.346356,,£9.642916,0.346,20/08/2022
21/08/2022 08:05:00,Premium Interest,£0.346356,,£9.989272,0.346,21/08/2022
22/08/2022 08:04:00,Transfer to Premium,,£10.000000,£0.335628,-10.000,22/08/2022
22/08/2022 08:04:00,Premium Interest,£0.346356,,£10.335628,0.346,22/08/2022
23/08/2022 08:06:00,Premium Interest,£0.347506,,£0.683134,0.348,23/08/2022
24/08/2022 08:06:00,Premium Interest,£0.347506,,£1.030640,0.348,24/08/2022
25/08/2022 08:07:00,Premium Interest,£0.347506,,£1.378146,0.348,25/08/2022
26/08/2022 08:06:00,Premium Interest,£0.347506,,£1.725652,0.348,26/08/2022
27/08/2022 08:05:00,Premium Interest,£0.347506,,£2.073158,0.348,27/08/2022
28/08/2022 08:06:00,Premium Interest,£0.347506,,£2.420664,0.348,28/08/2022
29/08/2022 08:05:00,Premium Interest,£0.347506,,£2.768170,0.348,29/08/2022
30/08/2022 08:05:00,Premium Interest,£0.347506,,£3.115676,0.348,30/08/2022
31/08/2022 08:05:00,Premium Interest,£0.347506,,£3.463182,0.348,31/08/2022
01/09/2022 08:09:00,Premium Interest,£0.347506,,£3.810688,0.348,01/09/2022
02/09/2022 08:07:00,Premium Interest,£0.355780,,£4.166468,0.356,02/09/2022
03/09/2022 08:06:00,Premium Interest,£0.355780,,£4.522248,0.356,03/09/2022
04/09/2022 08:05:00,Premium Interest,£0.355780,,£4.878028,0.356,04/09/2022
05/09/2022 08:06:00,Premium Interest,£0.355780,,£5.233808,0.356,05/09/2022
06/09/2022 08:07:00,Premium Interest,£0.355780,,£5.589588,0.356,06/09/2022
07/09/2022 08:07:00,Premium Interest,£0.355780,,£5.945368,0.356,07/09/2022
08/09/2022 08:06:00,Premium Interest,£0.355780,,£6.301148,0.356,08/09/2022
09/09/2022 08:07:00,Premium Interest,£0.355780,,£6.656928,0.356,09/09/2022
10/09/2022 08:06:00,Premium Interest,£0.355780,,£7.012708,0.356,10/09/2022
11/09/2022 08:06:00,Premium Interest,£0.355780,,£7.368488,0.356,11/09/2022
12/09/2022 08:07:00,Premium Interest,£0.355780,,£7.724268,0.356,12/09/2022
13/09/2022 08:06:00,Premium Interest,£0.355780,,£8.080048,0.356,13/09/2022
14/09/2022 08:07:00,Premium Interest,£0.355780,,£8.435828,0.356,14/09/2022
15/09/2022 08:07:00,Premium Interest,£0.355780,,£8.791608,0.356,15/09/2022
16/09/2022 08:06:00,Premium Interest,£0.355780,,£9.147388,0.356,16/09/2022
17/09/2022 08:07:00,Premium Interest,£0.355780,,£9.503168,0.356,17/09/2022
18/09/2022 08:05:00,Premium Interest,£0.355780,,£9.858948,0.356,18/09/2022
19/09/2022 08:07:00,Transfer to Premium,,£10.000000,£0.214728,-10.000,19/09/2022
19/09/2022 08:07:00,Premium Interest,£0.355780,,£10.214728,0.356,19/09/2022
20/09/2022 08:05:00,Premium Interest,£0.356958,,£0.571686,0.357,20/09/2022
21/09/2022 08:06:00,Premium Interest,£0.356958,,£0.928644,0.357,21/09/2022
