,Paid in capital,Distr capital,Int bearing,Non bearing,Accr int,Residual value,DPI,RVPI,TVPI,Inv mnths,TVPI CAGR,Net AER,Blended LTV,No loans,Avg loan amt,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,,,3000.0,5.3,,3005.3,,,,,,0.0565083053368564,0.4708999999999997,3.0,1000.0,21.666666666666664,24.0,11.180464301357862,17.07689086939618,,,0.0,0.0,0.0,0.0
2023-09-03,,,3000.0,5.31,,3005.31,,,,,,0.0565083053368564,0.4708999999999997,3.0,1000.0,21.666666666666664,24.0,10.359176522120016,16.329216137811407,,,0.0,0.0,0.0,0.0
2023-10-15,,,3000.0,13.87,,3013.87,,,,,,0.0565083053368564,0.4708999999999997,3.0,1000.0,21.666666666666664,24.0,8.979413053000439,15.073122588748992,,,0.0,0.0,0.0,0.0
2023-11-25,,,3000.0,9.79,,3009.79,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,19.3604905825668,32.29954840446212,,,0.0,0.0,0.0,0.0
2023-12-22,,,3000.0,16.98,,3016.98,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,18.47349978098993,31.492059694350573,,,0.3333333333333333,0.0,0.0,1000.0
2024-03-31,,,3000.0,16.49,,3016.49,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,15.22120017520806,28.531267757274875,0.0,0.0,0.3333333333333333,0.0,0.0,1000.0
2024-06-30,,,3000.0,16.52,,3016.52,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,12.198861147612789,25.77982474504292,0.0,0.0,0.3333333333333333,0.0,0.0,1000.0
2024-08-03,,,3000.0,5.45,,3005.45,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,17.066360052562416,24.76298711008763,0.0,0.0,0.6666666666666666,0.0,1000.0,1000.0
2024-08-04,,,3000.0,5.45,,3005.45,,,,,,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,17.0335085413929,24.73308012082424,0.0,0.0,0.6666666666666666,0.0,1000.0,1000.0
2024-09-22,4000.0,324.17,3000.0,1016.77,0.0,4016.77,0.0810424999999999,1.0041925,1.085235,27.10516805204192,0.036876646724242,0.0671985317190312,0.4999999999999998,3.0,1000.0,28.0,36.0,15.423784494086728,23.26763764691809,0.0,0.0,0.6666666666666666,0.0,1000.0,1000.0
2024-12-19,4000.0,407.86,4000.0,13.98,9.95,4023.93,0.1019649999999999,1.0059825,1.1079475,29.99638597759306,0.0418610884487231,0.0756444653524832,0.5,4.0,1000.0,33.0,36.0,23.53810775295664,32.658432275622815,0.0,0.0,0.25,0.0,0.0,1000.0
2025-01-29,4000.0,426.38,4000.0,26.45,12.79,4039.24,0.106595,1.0098099999999999,1.1164049999999999,31.343430692906658,0.04305887192105651,0.0756444653524832,0.5,4.0,1000.0,33.0,36.0,22.19119579500657,31.43224571582379,0.0,0.0,0.25,0.0,0.0,1000.0
