platform_account_name,trx_date,trx_desc,trx_type,trx_amt
Loanpad 60d Access,2022-06-22 16:50:00,Bank Deposit,Paid in,3000.0
Loanpad 60d Access,2022-06-24 12:06:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-25 11:52:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-26 11:43:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-27 11:56:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-28 12:12:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-29 11:53:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-06-30 12:07:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-07-01 11:58:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-07-02 12:07:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-07-03 11:50:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-07-04 11:53:00,Premium Interest,Interest,0.328767
Loanpad 60d Access,2022-07-05 12:19:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-06 12:05:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-07 12:09:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-08 12:06:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-09 12:13:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-10 12:00:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-11 12:02:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-12 12:24:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-13 12:10:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-14 12:09:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-15 12:18:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-16 12:17:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-17 12:02:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-18 12:07:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-19 12:27:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-20 12:08:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-21 12:35:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-22 12:38:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-23 12:23:00,Premium Interest,Interest,0.336986
Loanpad 60d Access,2022-07-24 12:34:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-25 12:26:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-26 12:40:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-27 12:55:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-28 11:43:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-29 08:06:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-30 08:06:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-07-31 08:05:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-08-01 08:06:00,Premium Interest,Interest,0.338109
Loanpad 60d Access,2022-08-02 08:07:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-03 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-04 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-05 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-06 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-07 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-08 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-09 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-10 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-11 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-12 08:07:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-13 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-14 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-15 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-16 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-17 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-18 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-19 08:06:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-20 08:07:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-21 08:05:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-22 08:04:00,Premium Interest,Interest,0.346356
Loanpad 60d Access,2022-08-23 08:06:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-24 08:06:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-25 08:07:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-26 08:06:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-27 08:05:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-28 08:06:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-29 08:05:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-30 08:05:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-08-31 08:05:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-09-01 08:09:00,Premium Interest,Interest,0.347506
Loanpad 60d Access,2022-09-02 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-03 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-04 08:05:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-05 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-06 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-07 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-08 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-09 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-10 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-11 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-12 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-13 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-14 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-15 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-16 08:06:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-17 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-18 08:05:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-19 08:07:00,Premium Interest,Interest,0.35578
Loanpad 60d Access,2022-09-20 08:05:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-21 08:06:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-22 08:07:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-23 08:06:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-24 08:07:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-25 08:06:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-26 08:06:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-27 08:08:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-28 08:08:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-29 08:08:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-09-30 08:09:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-10-01 08:08:00,Premium Interest,Interest,0.356958
Loanpad 60d Access,2022-10-02 08:07:00,Premium Interest,Interest,0.36526
Loanpad 60d Access,2022-10-03 08:06:00,Premium Interest,Interest,0.36526
Loanpad 60d Access,2022-10-03 16:44:00,Bank Deposit,Paid in,1000.0
Loanpad 60d Access,2022-10-04 08:06:00,Premium Interest,Interest,0.36526
Loanpad 60d Access,2022-10-05 08:08:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-06 08:07:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-07 08:08:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-08 08:06:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-09 08:07:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-10 08:06:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-11 08:08:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-12 08:07:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-13 08:07:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-14 08:06:00,Premium Interest,Interest,0.485808
Loanpad 60d Access,2022-10-15 08:05:00,Premium Interest,Interest,0.487013
Loanpad 60d Access,2022-10-16 08:06:00,Premium Interest,Interest,0.487013
Loanpad 60d Access,2022-10-17 08:05:00,Premium Interest,Interest,0.487013
Loanpad 60d Access,2022-10-18 08:06:00,Premium Interest,Interest,0.487013
Loanpad 60d Access,2022-10-19 08:06:00,Premium Interest,Interest,0.487013
